TIME,安徽,北京,重庆,福建,甘肃,广东,广西,贵州,海南,河北,黑龙江,河南,香港,湖北,湖南,内蒙古,江苏,江西,吉林,辽宁,澳门,宁夏,青海,山西,山东,上海,陕西,四川,天津,Tibet,新疆,云南,浙江
2020/2/3,408,212,337,179,55,725,127,46,72,113,121,566,15,13522,521,34,271,391,31,74,8,31,13,128,259,203,74,254,60,1,24,117,724
2020/2/4,480,228,366,194,57,813,139,58,80,126,155,675,17,16678,593,35,308,476,42,81,10,34,15,142,275,219,81,282,67,1,29,122,829
2020/2/5,530,253,389,205,62,895,150,64,99,135,190,764,21,19665,661,42,341,548,54,89,10,34,17,165,307,243,81,301,69,1,32,128,895
2020/2/6,591,274,411,215,62,970,168,71,106,157,227,851,24,22112,711,46,373,600,59,94,10,40,18,173,347,257,96,321,79,1,36,133,954
2020/2/7,665,297,426,224,67,1034,172,81,117,172,277,914,25,24953,772,50,408,661,65,99,10,43,18,184,386,277,104,344,81,1,39,138,1006
2020/2/8,733,315,428,239,79,1095,183,89,124,195,295,981,26,27100,803,52,439,698,69,105,10,45,18,195,416,286,115,364,88,1,42,138,1048
2020/2/9,779,326,468,250,83,1131,195,99,131,206,307,1033,29,29631,838,54,468,740,78,107,10,45,18,208,444,293,119,386,91,1,45,141,1075
2020/2/10,830,337,486,261,83,1159,210,109,138,218,331,1073,38,31728,879,58,492,771,80,108,10,49,18,213,466,299,119,405,95,1,49,149,1092
2020/2/11,860,342,505,267,86,1177,215,127,144,239,360,1105,49,33366,912,58,515,804,81,111,10,53,18,219,487,303,124,417,106,1,55,153,1117
2020/2/12,889,352,518,272,87,1219,222,133,157,251,378,1135,50,33366,946,60,543,844,83,116,10,58,18,225,497,311,126,436,112,1,59,154,1131
2020/2/13,910,366,529,279,90,1241,222,135,157,265,395,1169,53,48206,968,61,570,872,84,117,10,64,18,229,509,315,126,451,119,1,63,156,1145
2020/2/14,934,372,537,281,90,1261,226,140,159,283,419,1184,56,54406,988,65,593,900,86,119,10,67,18,230,523,318,127,463,120,1,65,162,1155
2020/2/15,950,375,544,285,90,1294,235,143,162,291,425,1212,56,56249,1001,68,604,913,88,119,10,70,18,232,532,326,128,470,122,1,70,168,1162
2020/2/16,962,380,551,287,90,1316,237,144,162,300,445,1231,57,58182,1004,70,617,925,89,121,10,70,18,236,537,328,129,481,124,1,71,171,1167
2020/2/17,973,381,553,290,91,1322,238,146,163,301,457,1246,60,59989,1006,72,626,930,89,121,10,70,18,240,541,333,130,495,125,1,75,171,1171
2020/2/18,982,387,555,292,91,1328,242,146,163,306,464,1257,62,61682,1007,73,629,933,89,121,10,70,18,240,543,333,131,508,128,1,76,172,1172
2020/2/19,986,393,560,293,91,1331,244,146,168,306,470,1262,63,62031,1008,75,631,934,90,121,10,71,18,242,544,333,131,514,130,1,76,172,1174
2020/2/20,987,395,567,293,91,1332,245,146,168,307,476,1265,68,62442,1010,75,631,934,91,121,10,71,18,245,546,334,132,520,131,1,76,174,1175
2020/2/21,988,396,572,293,91,1333,246,146,168,308,479,1267,68,62662,1011,75,631,934,91,121,10,71,18,245,749,334,132,525,132,1,76,174,1203
2020/2/22,989,399,573,293,91,1339,249,146,168,309,479,1270,69,64084,1013,75,631,934,91,121,10,71,18,245,750,335,132,526,135,1,76,174,1205
2020/2/23,989,399,575,293,91,1342,249,146,168,311,480,1271,74,64084,1016,75,631,934,91,121,10,71,18,245,754,335,132,526,135,1,76,174,1205
2020/2/24,989,399,576,293,91,1345,251,146,168,311,480,1271,79,64287,1016,75,631,934,93,121,10,71,18,245,755,335,133,527,135,1,76,174,1205
2020/2/25,989,400,576,294,91,1347,252,146,168,311,480,1271,84,64786,1016,75,631,934,93,121,10,71,18,245,756,336,133,529,135,1,76,174,1205
2020/2/26,989,400,576,294,91,1347,252,146,168,312,480,1271,91,65187,1016,75,631,934,93,121,10,71,18,245,756,337,133,531,135,1,76,174,1205
2020/2/27,989,410,576,296,91,1347,252,146,168,317,480,1272,92,65596,1017,75,631,934,93,121,10,72,18,245,756,337,133,534,136,1,76,174,1205
2020/2/28,990,410,576,296,91,1348,252,146,168,318,480,1272,94,65914,1017,75,631,935,93,121,10,72,18,245,756,337,133,538,136,1,76,174,1205
2020/2/29,990,411,576,296,91,1349,252,146,168,318,480,1272,95,66337,1018,75,631,935,93,121,10,73,18,245,756,337,133,538,136,1,76,174,1205
2020/3/1,990,413,576,296,91,1349,252,146,168,318,480,1272,96,66907,1018,75,631,935,93,122,10,73,18,245,758,337,133,538,136,1,76,174,1205
2020/3/2,990,414,576,296,91,1350,252,146,168,318,480,1272,100,67103,1018,75,631,935,93,122,10,74,18,245,758,337,133,538,136,1,76,174,1206
2020/3/3,990,414,576,296,91,1350,252,146,168,318,480,1272,100,67217,1018,75,631,935,93,125,10,74,18,245,758,338,133,538,136,1,76,174,1213
